,index,English,Hebrew
0,1,come,בא
1,2,Ga,גא
2,11,No,לא
3,12,Ma,מא
4,13,please,נא
5,21,cell,תא
6,22,father,אב
7,23,b,בב
8,24,back,גב
9,29,indebted,חב
10,30,Tab,טב
11,33,heart,לב
12,36,grandfather,סב
13,39,turtle,צב
14,40,crutch,קב
15,43,Tab,תב
16,45,B,בג
17,46,roof,גג
18,48,H,הג
19,58,seg,סג
20,65,tag,תג
21,66,Ed,אד
22,67,cloth,בד
23,68,Gad,גד
24,69,brisket,דד
25,70,echo,הד
26,73,sharp,חד
27,74,Ted,טד
28,76,jug,כד
29,78,gauge,מד
30,79,Ned,נד
31,80,chock,סד
32,83,trapping,צד
33,87,Ted,תד
34,88,Ah,אה
35,90,Gee,גה
36,92,The,הה
37,97,God,יה
38,98,so,כה
39,99,her,לה
40,100,what,מה
41,107,re,רה
42,108,that,שה
43,109,tea,תה
44,110,or,או
45,113,two,דו
46,115,hook,וו
47,116,this,זו
48,117,Hu,חו
49,120,c,כו
50,122,Mo,מו
51,124,Sue,סו
52,125,O,עו
53,127,order,צו
54,128,line,קו
55,130,Shaw,שו
56,131,note,תו
57,133,falcon,בז
58,134,gas,גז
59,136,the,הז
60,138,moving,זז
61,143,to,לז
62,144,from,מז
63,147,goat,עז
64,150,gauze,קז
65,154,brother,אח
66,155,b,בח
67,158,H,הח
68,159,and,וח
69,161,hook,חח
70,164,power,כח
71,165,damp,לח
72,166,brain,מח
73,167,Noah,נח
74,169,ugh,עח
75,170,tin,פח
76,171,fresh,צח
77,172,take,קח
78,176,slowly,אט
79,178,divorce,גט
80,180,the,הט
81,181,watt,וט
82,183,needle,חט
83,188,Matt,מט
84,189,Net,נט
85,191,pen,עט
86,192,Pat,פט
87,194,small,קט
88,200,Gi,גי
89,201,enough,די
90,203,V,וי
91,204,Z,זי
92,205,live,חי
93,206,T,טי
94,212,si,סי
95,214,times,פי
96,215,fleet,צי
97,218,gift,שי
98,219,you,תי
99,220,but,אך
100,223,lowly,דך
101,226,pure,זך
102,227,palate,חך
103,228,Tech,טך
104,229,you,יך
105,230,so,כך
106,232,infra,מך
107,234,amount,סך
108,236,jug,פך
109,239,soft,רך
110,240,your,שך
111,241,stitch,תך
112,242,to,אל
113,244,wave,גל
114,245,poor,דל
115,246,cardamom,הל
116,249,applicable,חל
117,252,all,כל
118,255,Nell,נל
119,256,basket,סל
120,259,shadow,צל
121,260,easy,קל
122,262,of,של
123,266,also,גם
124,267,blood,דם
125,268,they,הם
126,271,hot,חם
127,273,sea,ים
128,278,drug,סם
129,280,Pam,פם
130,281,fasting,צם
131,283,loud,רם
132,285,finished,תם
133,286,Ann,אן
134,287,son,בן
135,288,garden,גן
136,289,Dan,דן
137,290,they,הן
138,292,strain,זן
139,293,Grace,חן
140,295,yen,ין
141,297,Len,לן
142,298,from,מן
143,299,nan,נן
144,302,lest,פן
145,303,briar,צן
146,304,nest,קן
147,305,Ran,רן
148,306,tooth,שן
149,307,give,תן
150,308,ace,אס
151,309,bass,בס
152,310,coarse,גס
153,316,fly,טס
154,318,throne,כס
155,319,Les,לס
156,320,tax,מס
157,321,miracle,נס
158,322,moth,סס
159,323,it,עס
160,324,stripe,פס
161,330,A,אע
162,332,touch,גע
163,333,know,דע
164,334,the,הע
165,335,and,וע
166,336,move,זע
167,338,wrong,טע
168,340,ca,כע
169,341,to,לע
170,342,Ma,מע
171,343,moving,נע
172,344,go,סע
173,347,walk,צע
174,350,h,שע
175,354,limb,גף
176,355,page,דף
177,359,innocent,חף
178,362,tablespoon,כף
179,366,threshold,סף
180,367,fly,עף
181,369,floating,צף
182,372,chef,שף
183,373,drum,תף
184,375,mud,בץ
185,376,spark,גץ
186,379,and,וץ
187,381,arrow,חץ
188,385,playful,לץ
189,390,burst,פץ
190,392,end,קץ
191,393,running,רץ
192,397,Beck,בק
193,398,jack,גק
194,399,thin,דק
195,401,and,וק
196,404,Tech,טק
197,407,Polish,לק
198,408,Mac,מק
199,415,only,רק
200,416,bag,שק
201,418,R,אר
202,419,bar,בר
203,420,live,גר
204,424,foreign,זר
205,425,damn,חר
206,428,pillow,כר
207,429,L,לר
208,430,Mr,מר
209,431,candle,נר
210,432,sir,סר
211,433,awake,ער
212,434,bull,פר
213,435,narrow,צר
214,436,cold,קר
215,438,minister,שר
216,440,fire,אש
217,442,approach,גש
218,443,flap,דש
219,444,The,הש
220,447,felt,חש
221,452,from,מש
222,455,moth,עש
223,458,straw,קש
224,460,six,שש
225,465,religion,דת
226,466,The,הת
227,467,and,ות
228,468,this,זת
229,472,sect,כת
230,473,to,לת
231,474,dead,מת
232,476,Seth,סת
233,477,time,עת
234,478,bread,פת
235,480,butt,קת
236,483,sub,תת
237,494,like,כאא
238,495,No,לאא
239,497,naa,נאא
240,503,see,ראא
241,506,father,אאב
242,509,dove,דאב
243,512,Wolf,זאב
244,514,Tab,טאב
245,521,sad,עאב
246,522,pub,פאב
247,523,turtle,צאב
248,525,Rab,ראב
249,526,drew,שאב
250,527,greedy,תאב
251,528,ugh,אאג
252,531,worried,דאג
253,534,zag,זאג
254,535,hag,חאג
255,536,tag,טאג
256,541,nag,נאג
257,542,sag,סאג
258,549,tag,תאג
259,551,Bud,באד
260,552,Gad,גאד
261,558,Tad,טאד
262,559,yad,יאד
263,560,as,כאד
264,562,very,מאד
265,571,Thad,תאד
266,573,came,באה
267,581,proper,יאה
268,583,Leah,לאה
269,584,century,מאה
270,588,wig,פאה
271,592,shah,שאה
272,593,camel,תאה
273,595,came,באו
274,602,Tao,טאו
275,604,came,כאו
276,605,No,לאו
277,610,pow,פאו
278,613,see,ראו
279,615,bison,תאו
280,616,and,אאז
281,618,gas,גאז
282,619,then,דאז
283,620,then,האז
284,627,Laz,לאז
285,628,since,מאז
286,637,then,תאז
287,641,dah,דאח
288,651,sigh,נאח
289,658,brother,שאח
290,668,Tat,טאט
291,669,Jat,יאט
292,670,slowly,כאט
293,671,slowly,לאט
294,675,slow,עאט
295,676,Pat,פאט
296,677,chat,צאט
297,678,Cat,קאט
298,684,Guy,גאי
299,690,Tai,טאי
300,694,May,מאי
301,695,handsome,נאי
302,698,pie,פאי
303,703,cellular,תאי
304,710,Zach,זאך
305,711,you,חאך
306,717,after,נאך
307,723,saw,ראך
308,725,your,תאך
309,733,Hal,חאל
310,734,Tal,טאל
311,739,please,נאל
312,740,Sal,סאל
313,747,Tal,תאל
314,762,Sam,סאם
315,764,Pam,פאם
