,א,ב,ג,ד,ה,ו,ז,ח,ט,י,כ,ל,מ,נ,ס,ע,פ,צ,ק,ר,ש,ת
0,אא,בא,גא,דא,הא,וא,זא,חא,טא,יא,כא,לא,מא,נא,סא,עא,פא,צא,קא,רא,שא,תא
0, Aa, come, Ga, Da, Huh, And, Za, Ha, Ta, 11, XX, No, Ma, please, Sa, Aa, Fa, go out, Ka, See, Sha, cell
1,אב,בב,גב,דב,הב,וב,זב,חב,טב,יב,כב,לב,מב,נב,סב,עב,פב,צב,קב,רב,שב,תב
1, father, b, back, Dov, The H, and in, Zev, indebted, Tab, 12, approx, heart, Mb, post Scriptum, grandfather, Eb, Feb, turtle, crutch, multi, sit down, Tab
2,אג,בג,גג,דג,הג,וג,זג,חג,טג,יג,כג,לג,מג,נג,סג,עג,פג,צג,קג,רג,שג,תג
2, Ag, B, roof, A fish, H, and c, Zg, Holiday, Teg, 13, Kg, Lg, Mag, Ng, seg, Eg, expired, Screen, Kg, Reg, Sg, tag
3,אד,בד,גד,דד,הד,וד,זד,חד,טד,יד,כד,לד,מד,נד,סד,עד,פד,צד,קד,רד,שד,תד
3, Ed, cloth, Gad, brisket, echo, and d, Zed, sharp, Ted,Hand, jug, Led, gauge, Ned, chock, Until, Fed, trapping, Ked, come down, Breast, Ted
4,אה,בה,גה,דה,הה,וה,זה,חה,טה,יה,כה,לה,מה,נה,סה,עה,פה,צה,קה,רה,שה,תה
4, Ah, in her, Gee, Da, The, And the, It, Ha, Ta, God, so, her, what, Nah, Sa, Eh, Here, Tza, Ka, re, that, tea
5,או,בו,גו,דו,הו,וו,זו,חו,טו,יו,כו,לו,מו,נו,סו,עו,פו,צו,קו,רו,שו,תו
5, or, at him, Go, two, Oh, hook, this, Hu, Tu, Yu, c, to him, Mo, Well, Sue, O, Fu, order, line, Ru, Shaw, note
6,אז,בז,גז,דז,הז,וז,זז,חז,טז,יז,כז,לז,מז,נז,סז,עז,פז,צז,קז,רז,שז,תז
6, So, falcon, gas, Dez, the, and z, moving, Chaz, 16, 17, XXI, to, from, Nez, sez, goat, Paz, Cz, gauze, Raz, Shaz, ID
7,אח,בח,גח,דח,הח,וח,זח,חח,טח,יח,כח,לח,מח,נח,סח,עח,פח,צח,קח,רח,שח,תח
