,Alef,Bet,Guimel,Dalet,Hei,Vav,Zayn,Chet,Tet,Yud,Khaf,Lamed,Mem,Nun,Samech,Ayin,Pey,Tzadi,Kuf,Reish,Shin,Taf
0, Aa, come, Ga, Da, Huh, And, Za, Ha, Ta, 11, XX, No, Ma, please, Sa, Aa, Fa, go out, Ka, See, Sha, cell
1, father, b, back, Dov, The H, and in, Zev, indebted, Tab, 12, approx, heart, Mb, post Scriptum, grandfather, Eb, Feb, turtle, crutch, multi, sit down, Tab
2, Ag, B, roof, A fish, H, and c, Zg, Holiday, Teg, 13, Kg, Lg, Mag, Ng, seg, Eg, expired, Screen, Kg, Reg, Sg, tag
3, Ed, cloth, Gad, brisket, echo, and d, Zed, sharp, Ted,Hand, jug, Led, gauge, Ned, chock, Until, Fed, trapping, Ked, come down, Breast, Ted
4, Ah, in her, Gee, Da, The, And the, It, Ha, Ta, God, so, her, what, Nah, Sa, Eh, Here, Tza, Ka, re, that, tea
5, or, at him, Go, two, Oh, hook, this, Hu, Tu, Yu, c, to him, Mo, Well, Sue, O, Fu, order, line, Ru, Shaw, note
6, So, falcon, gas, Dez, the, and z, moving, Chaz, 16, 17, XXI, to, from, Nez, sez, goat, Paz, Cz, gauze, Raz, Shaz, ID
7, brother, b, gah, Rejected, H, and, Zah, hook, Sure, 18, power, damp, brain, Noah,Sah, ugh, tin, fresh, take, Rach, Shah, Tah
8, slowly, Bt, divorce, Det, the, watt, Zet, needle, Tet, 19, Nineteenth, Lt, Matt, Net, Set, pen, Pat, Ct, small, Rt, Shet, Tet
9, an island, Me, Gi, enough, Hi, V, Z, live, T, Yi, Because, to me, who will, Ni, si, Ai, times, fleet, Ki, Ri, gift, you
10, but, in you, you too, lowly, Here, And you, pure, palate, Tech, you, so, to you, infra, Nach, amount, uh, jug, Tach, Kach, soft, your, stitch
11, to, Bell, wave, poor, cardamom, And, Zel, applicable, Dew, Yell, all, Lal, Mel, Nell, basket, On, Fel, shadow, easy,Ral, of, Tel
12, If, in them, also, blood, they, And Wm, zam, hot, Tam, sea, Km, Lam, meme, Nm, drug, With, Pam, fasting, got up, loud, Name, finished
13, Ann, son, garden, Dan, they, Ven, strain, Grace, Tan, yen, Yes, Len, from, nan, Sen, An, lest, briar, nest, Ran, tooth, give
14, ace, bass, coarse, Des, Hs, and S, Zes, Chas, fly, Yes, throne, Les, tax, miracle, moth, it, stripe, Cess, Kes, Res, Shas, Thess
15, A, Inc, touch, know, the, and, move, Heh, wrong, Yes, ca, to, Ma, moving, go, Ae, Pa, walk, Ke, Bad, h, teh
16, Nose, in the mouth,limb, page, Hef, and f, Zef, innocent, Tef, Yiff, tablespoon, Lef, Map, Neff, threshold, fly, Pff, floating, Cap, Bar, chef, drum
17, Acc, mud, spark, Dats, Hatz, and, zetz, arrow, Tetz, Yitz, Katz, playful, Metz, Hawk, Sats, Wood, burst, popped up, end, running, Shatz, Tatz
18, Ac, Beck, jack, thin, Hk, and, Zak, Act, Tech, Yak, K.K, Polish, Mac, Nek, Sec, Eq, Pack, Tsk, Keck, only, bag, Tk
19, R, bar, live, Dr, Mountain, and R, foreign, damn, Ter, Fire, pillow, L, Mr, candle, sir, awake, bull, narrow, cold, Rrr, minister, Ther
20, fire, Bash, approach, flap, The, and that, Zh,felt, Tesh, there is, When, Lash, from, Nes, Sesh, moth, Pesh, Tsh, straw, Resh, six, 5
21, You, a girl, Gat, religion, The, and, this, Hat, Tet, Yat, sect, to, dead, Nat, Seth, time, bread, Tt, butt, Rath, sit down, sub
22, a a A, Baa, proud, Daa, haha, Wow, Zaa, haha, Taa, yaa, like, No, Maa, naa, Saa, Aaah, Fah, come out, Kaa, see, Shaa, come on
23, father, in the father, Gab, dove, the father, and father, Wolf, Hab, Tab, object of desire, Pain, to the father, from father, nav, Sub, sad, pub, turtle, Cub, Rab, drew, greedy
24, ugh, Bug, Gag,worried, The Hague, and ag, zag, hag, tag, Yag, as a, Lag, Mag, nag, sag, Eag, Pug, a watchman, Kag, Rag, Roar, tag
25, Aad, Bud, Gad, Dad, the vapor, and Ed, Zad, Had, Tad, yad, as, Lad, very, fart, Sade, Aad, Pad, Chad, Cad, Rudd, Shad, Thad
26, Aah, came, proud, Dah, Ha, And oh, this one, Ha, Tae, proper, like that, Leah, century, Handsome, Sah, Aah, wig, went out, Kah, See, shah, camel
27, Oh, came, Gao, Dow, How, And oh, zao, Khao, Tao, Yo, came, No, Mao, Nao, Saw, Come on,pow, come out, Cao, see, Shao, bison
28, and, a buzz, gas, then, then, and then, zaz, Haz, Taz, yaz, like that, Laz, since, naz, Saez, Aaz, Faz, Tzaz, Kaz, Raz, that time, then
29, Aah, in the fireplace, proud, dah, the brother, and a brother, Zah, Haha, Tah, Yah, as a brother, to brother, from a brother, sigh, Sah, Aah, Pah, laughed, Kah, Rah, brother, bro
30, slow down, Butt, Gat, Dat, slow down, Watt, Zat, Khat, Tat, Jat, slowly, slowly, slowing down, Nat, Sat, slow, Pat, chat, Cat, Rat, Shat, slow down
31, Aye, on the island, Guy, Dai, Island, and island, Zai,Chai, Tai, Yay, an island, to the island, May, handsome, Sai, Ai, pie, get out, Kai, Sight, Shay, cellular
32, Aah, Bach, Gach, That's right, Hach, And yet, Zach, you, Tach, Yuck, as you, one lakh, Mach, after, Sach, aah, Pach, your child, Kach, saw, Shah, your
33, Aal, In the, Gal, Dal, the god, And to, Zal, Hal, Tal, Yael, as a god, to God, Mal, please, Sal, Ael, Pal, zaal, Cal, Ral, Ask, Tal
34, A. If, Bam, Gam, Dam, the mother, and if, Zam, Ham, Tam, Yum, as a mother, to the mother, Mom, Nam, Sam, a nation, Pam, fasting, Cam, oryx,that if, matched
35, Ann, Ban, Gan, Dunn, Han, Van, Zan, khan, Tan, Jan, Here, where, Man, Naan, Sun, Aan, pan, sheep, Cannes, Ran, Shan, fig
36, Ace, Bass, Gus, Das, the ace, Vas, Zass, Khas, Tas, Jas, Kas, Las, fed up, Nas, Sass, As, Pass, Chas, Cass, Ras, Shas, Thass
37, Aah, came, proud, dae, Ha, and, Zaa, Hae, tae, Yea, like, Not by, maa, nice, sae, Aaa, Pae, got off, kae, Rae, Shaa, you will
38, Phew, in the nose, Gaff, Duff, the nose, and even, Zaf, Haff, Tuff, Yup, a nose,to the nose, of nose, Naf, Saf, Aaf, Puff, Tsaf, Cuff, Raf, breathed, you will
39, I will speed up, butz, Gatz, Datz, Accelerate, And what?, Zatz, Hatz, Tatz, yatz, as a speed, to accelerate, matz, Nats, satz, huffed, patch, zatz, Katz, ran, Shatz, speed up
40, Ack, Buck, Gak, Duck, Hack, Wack, Zack, Haq, Tuck, Yak, Huck, Lac, Mac, Nak, Sack, Ack, Puck, Chuck, jackdaw, Rak, Shaq, Tuck
