,Gmatria Value,English,Hebrew
1,1,"['Aleph (first letter of Hebrew alphabet)', '(slang) to let slip', 'one', 'first', 'A (class, quality)']",א
2,1,"['(Greek) a- (apolitical, asexual)']",א
3,71,['eugenic'],אאוגני
4,176,['eugenics (improvement of human hereditary qualities)'],אאוגניקה
5,201,['eosinophil (white blood cell)'],אאוזינופיל
6,17,"['(slang) out (fashion, opposite of ""in"")', '(slang) not with it', 'insensate', '(ball games) out']",אאוט
7,80,['outing'],אאוטינג
8,406,['outsourcing'],אאוטסורסינג
9,291,['(slang) outsider'],אאוטסידר
10,48,['eolian'],אאולי
11,343,['(biology) eucaryotic (also: eukaryotic)'],אאוקריוטי
12,222,['(anatomy) aorta'],אאורטה
13,313,['eureka'],אאורקה
14,3,"['father', 'male parent', 'ancestor', 'forefather', 'patriarch', 'arche- (archetype)', 'proto- (prototype)', 'האב - (Christianity) Father', 'האבות - (Judaism) The patriarchs (Abraham, Isaac and Jacob)']",אב
15,3,['Av (eleventh month in Hebrew calendar)'],אב
16,3,"['(flowery) bud', 'young shoot', 'באיבו - In the bud']",אב
17,168,['prototype'],אב-טיפוס
18,4,"['dad', 'daddy', 'father']",אבא
19,206,['agrimony (plant)'],אבגר
20,7,"['to become lost', 'to lose']",אבד
21,7,['to lose'],אבד
22,12,"['loss', 'אבידות - casualties', 'losses']",אבדה
23,63,"['destruction', 'devastation']",אבדון
24,57,"['loss', 'destruction', 'ruin']",אבדן
25,463,['suicidality'],אבדנות
26,67,['suicidal'],אבדני
27,8,"['(literary) to be willing', 'to want']",אבה
28,414,"['paternity', 'fatherhood', 'paternalism']",אבהות
29,18,['paternal'],אבהי
30,9,['(Arabic) father of'],אבו
31,26,['Abu Dhabi'],אבו דאבי
32,11,['oboe'],אבוב
33,11,['pneumatic tube (of tire)'],אבוב
34,61,['oboist'],אבובן
35,222,"[""Avogadro (chemistry - Avogadro's  number)""]",אבוגדרו
36,13,"['lost', 'hopeless']",אבוד
37,13,"['loss', 'disappearance']",אבוד
38,19,['Woe! Alas!'],אבוי
39,44,['Ebola (virus disease)'],אבולה
40,150,['evolution'],אבולוציה
41,211,"['evolutionary', 'developmental']",אבולוציוני
42,280,['evolutionist'],אבולוציוניסט
43,59,['fossilization'],אבון
44,69,"['stall', 'manger', 'feeding trough']",אבוס
45,69,['fattened (animal)'],אבוס
46,99,['galvanization'],אבוץ
47,109,"['powdering', 'dusting']",אבוק
48,119,['avocado'],אבוקדו
49,114,['torch'],אבוקה
50,216,"['equipping', 'fitting out (e.g. car)']",אבזור
51,50,['buckle (of a belt)'],אבזם
52,210,"['accessory (appliance, car)']",אבזר
53,210,"['to equip', 'fit out']",אבזר
54,16,['thrust  (e.g. sword)'],אבחה
55,67,['diagnosis'],אבחון
56,77,['diagnostic'],אבחוני
57,77,['diagnostic'],אבחוני
58,61,['to diagnose'],אבחן
59,61,['to be diagnosed'],אבחן
60,61,['to be diagnosed'],אבחן
61,61,['to diagnose'],אבחן
62,61,['to diagnose'],אבחן
63,61,['to be diagnosed'],אבחן
64,61,['to be diagnosed'],אבחן
65,61,['to be diagnosed'],אבחן
66,66,['diagnosis'],אבחנה
67,471,['diagnostic'],אבחנתי
68,48,['(microbiology) inactivation'],אבטול
69,20,"['to be guarded', 'to be secure', 'to be protected']",אבטח
70,20,"['to secure', 'protect']",אבטח
71,20,"['to be guarded', 'to be secure', 'to be protected']",אבטח
72,20,"['to be guarded', 'to be secure', 'to be protected']",אבטח
73,20,"['to be guarded', 'to be secure', 'to be protected']",אבטח
74,25,"['security', 'protection']",אבטחה
75,30,['watermelon'],אבטיח
76,168,['prototype'],אבטיפוס
77,47,['unemployment'],אבטלה
78,13,['Avi (Hebrew name)'],אבי
79,15,"['spring (season)', 'אביבים - Years of life', 'age (literally: Springs)']",אביב
80,15,['Aviv (Hebrew name)'],אביב
81,20,['Aviva (Hebrew name)'],אביבה
82,25,"['spring-like', 'vernal']",אביבי
83,67,['Abidjan'],אביג'אן
84,226,['Avigdor (Hebrew name)'],אביגדור
85,56,"['Avigail', 'Abigail (Hebrew name)']",אביגיל
86,67,['Avidan (Hebrew name)'],אבידן
87,18,['Aviya (Hebrew name)'],אביה
88,24,['Avihu (Hebrew name)'],אביהו
89,25,['Avihu (Hebrew name)'],אביהוא
90,84,['abiogenesis'],אביוגנזה
91,38,['(ecology) abiotic'],אביוטי
92,69,['(flowery) pauper'],אביון
93,74,"['libido', 'sexual desire']",אביונה
94,475,['(literary) poverty'],אביונות
95,79,['beggarly'],אביוני
96,220,"['accessory (of appliance, car)', 'accessory (of clothing)']",אביזר
97,31,['Avichai (Hebrew name)'],אביחי
98,52,['Avital (Hebrew name)'],אביטל
99,33,['hazy'],אביך
100,173,['Avinoam (Hebrew name)'],אבינעם
101,263,['Aviner (Hebrew name)'],אבינר
102,113,"['(chemistry) retort', 'flask']",אביק
