,English,Hebrew
0,['and why so much?'],(ו)כל כך למה
1,"['Aleph (first letter of Hebrew alphabet)', '(slang) to let slip', 'one', 'first', 'A (class, quality)', 'A (as in Side A)']",א
2,"['(Greek) a- (apolitical, asexual)']",א
3,['eugenic'],אאוגני
4,['eugenics (improvement of human hereditary qualities)'],אאוגניקה
5,['eosinophil (white blood cell)'],אאוזינופיל
6,"['(slang) out (fashion, opposite of ""in"")', '(slang) not with it', 'insensate', '(ball games) out']",אאוט
7,['outing'],אאוטינג
8,['outsourcing'],אאוטסורסינג
9,['(slang) outsider'],אאוטסידר
10,['eolian'],אאולי
11,['(biology) eucaryotic (also: eukaryotic)'],אאוקריוטי
12,['(anatomy) aorta'],אאורטה
13,['eureka'],אאורקה
14,"['father', 'male parent', 'ancestor', 'forefather', 'patriarch', 'arche- (archetype)', 'proto- (prototype)', 'האב - (Christianity) Father', 'האבות - (Judaism) The patriarchs (Abraham, Isaac and Jacob)']",אב
15,['Av (eleventh month in Hebrew calendar)'],אב
16,"['(flowery) bud', 'young shoot', 'באיבו - In the bud']",אב
17,['prototype'],אב-טיפוס
18,"['dad', 'daddy', 'father']",אבא
19,['agrimony (plant)'],אבגר
20,"['to become lost', 'to lose']",אבד
21,['to lose'],אבד
22,"['loss', 'אבידות - casualties', 'losses']",אבדה
23,"['destruction', 'devastation']",אבדון
24,"['loss', 'destruction', 'ruin']",אבדן
25,['suicidality'],אבדנות
26,['suicidal'],אבדני
27,"['(literary) to be willing', 'to want']",אבה
28,"['paternity', 'fatherhood', 'paternalism']",אבהות
29,['paternal'],אבהי
30,['(Arabic) father of'],אבו
31,['Abu Dhabi'],אבו דאבי
32,['oboe'],אבוב
33,['pneumatic tube (of tire)'],אבוב
34,['oboist'],אבובן
35,"[""Avogadro (chemistry - Avogadro's  number)""]",אבוגדרו
36,"['lost', 'hopeless']",אבוד
37,"['loss', 'disappearance']",אבוד
38,['Woe! Alas!'],אבוי
39,['Ebola (virus disease)'],אבולה
40,['evolution'],אבולוציה
41,"['evolutionary', 'developmental']",אבולוציוני
42,['evolutionist'],אבולוציוניסט
43,['fossilization'],אבון
44,"['stall', 'manger', 'feeding trough']",אבוס
45,['fattened (animal)'],אבוס
46,['galvanization'],אבוץ
47,"['powdering', 'dusting']",אבוק
48,['avocado'],אבוקדו
49,['torch'],אבוקה
50,"['equipping', 'fitting out (e.g. car)']",אבזור
51,['buckle (of a belt)'],אבזם
52,"['accessory (appliance, car)']",אבזר
53,"['to equip', 'fit out']",אבזר
54,['thrust  (e.g. sword)'],אבחה
55,['diagnosis'],אבחון
56,['diagnostic'],אבחוני
57,['diagnostic'],אבחוני
58,['to diagnose'],אבחן
59,['to be diagnosed'],אבחן
60,['to be diagnosed'],אבחן
61,['to diagnose'],אבחן
62,['to diagnose'],אבחן
63,['to be diagnosed'],אבחן
64,['to be diagnosed'],אבחן
65,['to be diagnosed'],אבחן
66,['diagnosis'],אבחנה
67,['diagnostic'],אבחנתי
68,['(microbiology) inactivation'],אבטול
69,"['to be guarded', 'to be secure', 'to be protected']",אבטח
70,"['to secure', 'protect']",אבטח
71,"['to be guarded', 'to be secure', 'to be protected']",אבטח
72,"['to be guarded', 'to be secure', 'to be protected']",אבטח
73,"['to be guarded', 'to be secure', 'to be protected']",אבטח
74,"['security', 'protection']",אבטחה
75,['watermelon'],אבטיח
76,['prototype'],אבטיפוס
77,['unemployment'],אבטלה
78,['Avi (Hebrew name)'],אבי
79,"['spring (season)', 'אביבים - Years of life', 'age (literally: Springs)']",אביב
80,['Aviv (Hebrew name)'],אביב
81,['Aviva (Hebrew name)'],אביבה
82,"['spring-like', 'vernal']",אביבי
83,['Abidjan'],אביג'אן
84,['Avigdor (Hebrew name)'],אביגדור
85,"['Avigail', 'Abigail (Hebrew name)']",אביגיל
86,['Avidan (Hebrew name)'],אבידן
87,['Aviya (Hebrew name)'],אביה
88,['Avihu (Hebrew name)'],אביהו
89,['Avihu (Hebrew name)'],אביהוא
90,['abiogenesis'],אביוגנזה
91,['(ecology) abiotic'],אביוטי
92,['(flowery) pauper'],אביון
93,"['libido', 'sexual desire']",אביונה
94,['(literary) poverty'],אביונות
95,['beggarly'],אביוני
96,"['accessory (of appliance, car)', 'accessory (of clothing)']",אביזר
97,['Avichai (Hebrew name)'],אביחי
98,['Avital (Hebrew name)'],אביטל
99,['hazy'],אביך
100,['Avinoam (Hebrew name)'],אבינעם
101,['Aviner (Hebrew name)'],אבינר
102,"['(chemistry) retort', 'flask']",אביק
103,"['drain (e.g. sink, bath)']",אביק
104,"['knight', 'nobleman']",אביר
105,"['(Biblical) hero', '(Biblical) horse', 'war-horse']",אביר
106,"['chivalry', 'gallantry', 'knighthood']",אבירות
107,"['chivalrous', 'gallant', 'knightly']",אבירי
108,['Avishag (Hebrew name)'],אבישג
109,['Avishai (Hebrew name)'],אבישי
110,['Evyathar (Hebrew name)'],אביתר
111,"['haze', 'haziness']",אבך
112,['rising cloud of dust or haze'],אבכה
113,"['but', 'however']",אבל
114,"['mourning', 'sadness', '(Judaism) period of mourning']",אבל
115,"['mourner', 'grieving', 'mourning']",אבל
116,['(flowery) to mourn'],אבל
117,['mourning'],אבלות
118,['stone'],אבן
119,"['to petrify', 'immobilize', 'stun', 'to ossify', 'to turn to stone']",אבן
120,"[""philosophers' stone""]",אבן החכמים [הפילוסופים]
121,['(architecture) keystone'],אבן הראשה
122,"['grindstone', 'whetstone']",אבן משחזת
123,['Rosetta stone'],אבן רוזטה
124,['stone fish'],אבנון
125,['sash (clothing)'],אבנט
126,['stony'],אבני
127,"[""potter's wheel""]",אבנים
128,"['scale (e.g. boiler, kettle)']",אבנית
129,"['Avner', 'Abner (Hebrew name)']",אבנר
130,['absolute'],אבסולוטי
131,['absolutism'],אבסולוטיזם
132,['absurd'],אבסורד
133,['absurd'],אבסורדי
134,['absurdity'],אבסורדיות
135,['abstract'],אבסטרקט
136,['abstract'],אבסטרקטי
137,['abstraction'],אבסטרקציה
138,['absinthe'],אבסינת
139,"['blister', '(medical) vesicle']",אבעבועה
140,"['chicken pox', '(medical: varicella)']",אבעבועות רוח
141,"['(Aramaic) (literary) question', 'problem']",אבעיה
142,['zinc'],אבץ
143,['abscess'],אבצס
144,"['to powder', 'to dust']",אבק
145,"['to be powdered', 'to be dusted']",אבק
146,"['dust', 'hint of …']",אבק
147,['gunpowder'],אבק שרפה
148,"['powder', 'pollen']",אבקה
149,['buttonhole'],אבקה
150,['abacus'],אבקוס
151,['hatchling'],אבקוע
152,['(botany) stamen'],אבקן
153,['(botany) staminate'],אבקני
154,"['powdery', 'dusty']",אבקתי
155,"['limb', 'organ', '(literary) wing', '(colloquial) organ (penis)']",אבר
156,"['(talmudic, rare) lead']",אבר
157,"['plumes', 'pinion', '(Biblical) wing']",אברה
158,['Abraham (Hebrew name)'],אברהם
159,['Ebro (River in Spain)'],אברו
160,['bream (fish)'],אברומה
161,['organelle'],אברון
162,"['canvas', 'tarpaulin']",אברזין
163,['Yeshiva student'],אברך
164,['Abracadabra'],אברקדברה
165,['heather (plant)'],אברש
166,['Absalom (Hebrew name)'],אבשלום
167,['Aegean'],אגאי
168,"['by the way', 'incidentally', 'while', 'during']",אגב
169,['Agave (plant)'],אגבה
170,['incidental'],אגבי
171,"['(flowery) to bind', 'truss', 'tie up', 'to gather', 'unite', 'marshal']",אגד
172,"['to amalgamate', 'confederate', 'unite']",אגד
173,"['to be bundled', 'to be gathered together', 'to be united']",אגד
174,"['bandage', '(military) support unit', '(flowery) bundle', 'bunch']",אגד
175,"['legend', 'fairy tale', '(Judaism) Aggada (A type of Rabbinic literature)', '(slang) excellent', 'great', 'outstanding']",אגדה
