,0
0,אב
1,אבא
2,אביבי
3,אב
4,אביב
5,אבידה
6,לאבוד
7,להיאבד
8,להתאבד
9,איבוד
10,התאבדות
11,להאביד
12,אבדה
13,אבוד
14,לאבד
15,שנית
16,שנית
17,שינית
18,שינית
19,אבדון
20,אבוקדו
21,אבזם
22,לאבזר
23,איבחון
24,לאבחן
25,לאבטח
26,איבטוח
27,אבטיח
28,אבטיפוס
29,לאבות
30,אביזר
31,אובך
32,אבל
33,לאבול
34,שנית
35,שנית
36,שינית
37,שינית
38,אבל
39,להתאבל
40,להתאבן
41,אבן
42,מאובן
43,לאבן
44,להאביס
45,האבסה
46,להיאבק
47,איבוק
48,מאבק
49,אבק
50,להתאבק
51,להתאבק
52,מאובק
53,שנית
54,שנית
55,שינית
56,שינית
57,לאבק
58,להאביק
59,אביר
60,אברה
61,אגב
62,איגוד
63,התאגדות
64,לאגוד
65,אוגדה
66,אגודה
67,להתאגד
68,אגד
69,אגידה
70,אוגד
71,מואגד
72,שנית
73,שנית
74,שינית
75,שינית
76,לאגד
77,להיאגד
78,תאגיד
79,אגוז
80,אגם
81,אגן
82,אגס
83,איגוף
84,לאגוף
85,אגף
86,לאגף
87,איגרת
88,אגרון
89,מאגר
90,לאגור
91,שנית
92,שנית
93,שינית
94,שינית
95,להיאגר
96,אגרה
97,אגרטל
98,להתאגרף
99,אגרוף
100,אדיב
101,אדווה
102,אדון
103,להתאדות
104,אד
105,אידוי
106,התאדות
107,לאדות
108,מאדים
109,אודם
110,שנית
111,שנית
112,שינית
113,שינית
114,אדמדם
115,אדמת
116,אדם
117,אדום
118,אדמה
119,להאדים
120,אודם
121,אדיקות
122,אדוק
123,נאדר
124,אדיר
125,אדריכל
126,אדיש
127,לאהוב
128,להתאהב
129,שנית
130,שנית
131,שינית
132,שינית
133,התאהבות
134,אהבה
135,אהוב
136,מאוהב
137,להיאהב
138,אהבל
139,אוהד
140,לאהוד
141,לאהוה
142,אוהל
143,או
144,אובדן
145,אובדני
146,אובססיבי
147,אודות
148,שנית
149,שנית
150,שינית
151,שינית
152,אווז
153,אוויר
154,אווירון
155,להאיט
156,אוטו
157,אוטובוס
158,תאווה
159,לאוות
160,אוי
161,להתאוות
162,אוכלוסיה
163,אוכמנית
164,אוויל
165,איוולת
166,אולי
167,שנית
168,שנית
169,שינית
170,שינית
171,אולם
172,אולם
173,אולפן
174,אומנות לחימה
175,און
176,אוניברסיטה
177,אונייה
178,אופנוע
179,לאוץ
180,להאיץ
181,תאוצה
182,אצן
183,אוצר מילים
184,אוקיינוס
185,להאיר
186,שנית
187,שנית
188,שינית
189,שינית
190,אור
191,תאורה
192,מאורה
193,מאור
194,אוריינ
195,אוריינות
196,אורייני
197,לאוורר
198,להתאוורר
199,איוורור
200,מאוורר
201,לאוושש
202,איוושוש
203,להיאות
204,לאותת
205,שנית
206,שנית
207,שינית
208,שינית
209,אות
210,אות
211,אז
212,לאזכר
213,איזכור
214,לאזול
215,אזמל
216,להאזין
217,להתאזן
218,איזון
